Gmt time,Open,High,Low,Close,Volume
02.02.2021 00:00:00.000,0.89652,0.89950,0.89466,0.89792,69396.9297
03.02.2021 00:00:00.000,0.89794,0.90024,0.89700,0.89841,54708.7813
04.02.2021 00:00:00.000,0.89841,0.90446,0.89836,0.90401,60184.7109
05.02.2021 00:00:00.000,0.90402,0.90455,0.89841,0.89841,65766.5
06.02.2021 00:00:00.000,0.89841,0.89841,0.89841,0.89841,0
07.02.2021 00:00:00.000,0.89912,0.89956,0.89858,0.89901,3200.3201
08.02.2021 00:00:00.000,0.89900,0.90193,0.89783,0.89863,58686.8594
09.02.2021 00:00:00.000,0.89863,0.89878,0.89193,0.89255,61618.5391
10.02.2021 00:00:00.000,0.89254,0.89310,0.88900,0.89024,59678.1914
11.02.2021 00:00:00.000,0.89024,0.89100,0.88918,0.89007,42796.1914
12.02.2021 00:00:00.000,0.89007,0.89396,0.88991,0.89102,44343.6211
13.02.2021 00:00:00.000,0.89102,0.89102,0.89102,0.89102,0
14.02.2021 00:00:00.000,0.89089,0.89190,0.89088,0.89190,1886.15
15.02.2021 00:00:00.000,0.89190,0.89246,0.88948,0.88990,40253.4297
16.02.2021 00:00:00.000,0.88991,0.89397,0.88710,0.89356,61521.1602
17.02.2021 00:00:00.000,0.89356,0.89918,0.89269,0.89854,77097.6484
18.02.2021 00:00:00.000,0.89854,0.89953,0.89566,0.89602,65794.2422
19.02.2021 00:00:00.000,0.89602,0.89722,0.89331,0.89612,54602.5
20.02.2021 00:00:00.000,0.89612,0.89612,0.89612,0.89612,0
21.02.2021 00:00:00.000,0.89625,0.89741,0.89519,0.89683,6350.9302
22.02.2021 00:00:00.000,0.89683,0.90234,0.89479,0.89579,66601.2734
23.02.2021 00:00:00.000,0.89577,0.90569,0.89484,0.90532,71486.5781
24.02.2021 00:00:00.000,0.90532,0.90943,0.90479,0.90670,94302.3516
25.02.2021 00:00:00.000,0.90671,0.90812,0.90278,0.90570,113157.1406
26.02.2021 00:00:00.000,0.90570,0.91015,0.90264,0.90824,112892.6563
27.02.2021 00:00:00.000,0.90824,0.90824,0.90824,0.90824,0
28.02.2021 00:00:00.000,0.90868,0.90871,0.90730,0.90731,2654.22
01.03.2021 00:00:00.000,0.90730,0.91592,0.90704,0.91497,94356.6875
02.03.2021 00:00:00.000,0.91497,0.91934,0.91359,0.91510,83257.5391
03.03.2021 00:00:00.000,0.91509,0.92006,0.91400,0.92003,83846.7813
04.03.2021 00:00:00.000,0.92003,0.92977,0.91890,0.92925,114387.1797
05.03.2021 00:00:00.000,0.92926,0.93186,0.92573,0.93029,111922.4922
06.03.2021 00:00:00.000,0.93029,0.93029,0.93029,0.93029,0
07.03.2021 00:00:00.000,0.92943,0.93091,0.92857,0.93010,4264.1499
08.03.2021 00:00:00.000,0.93010,0.93693,0.92975,0.93612,84382.7578
09.03.2021 00:00:00.000,0.93612,0.93750,0.92742,0.92816,92370.9219
10.03.2021 00:00:00.000,0.92816,0.93230,0.92801,0.92986,83933.4297
11.03.2021 00:00:00.000,0.92988,0.93087,0.92303,0.92480,76320.6406
12.03.2021 00:00:00.000,0.92480,0.93246,0.92459,0.92919,70582.7109
13.03.2021 00:00:00.000,0.92919,0.92919,0.92919,0.92919,0
14.03.2021 00:00:00.000,0.92719,0.92966,0.92703,0.92941,9828.3799
15.03.2021 00:00:00.000,0.92941,0.93122,0.92631,0.92768,82687.8594
16.03.2021 00:00:00.000,0.92768,0.92870,0.92421,0.92494,76973.7266
17.03.2021 00:00:00.000,0.92494,0.92956,0.92132,0.92220,99176.1484
18.03.2021 00:00:00.000,0.92219,0.93051,0.92186,0.92733,117223.7422
19.03.2021 00:00:00.000,0.92733,0.93197,0.92509,0.92843,94187.1563
20.03.2021 00:00:00.000,0.92843,0.92843,0.92843,0.92843,0
21.03.2021 00:00:00.000,0.93046,0.93101,0.92915,0.93000,3516.03
22.03.2021 00:00:00.000,0.92999,0.93090,0.92222,0.92336,75830.1484
23.03.2021 00:00:00.000,0.92337,0.93467,0.92326,0.93443,77790.1328
24.03.2021 00:00:00.000,0.93441,0.93693,0.93370,0.93597,70988.0938
25.03.2021 00:00:00.000,0.93597,0.94015,0.93490,0.93956,72492.8203
26.03.2021 00:00:00.000,0.93955,0.94176,0.93821,0.93885,51123.7617
27.03.2021 00:00:00.000,0.93885,0.93885,0.93885,0.93885,0
28.03.2021 00:00:00.000,0.93848,0.93967,0.93847,0.93956,2238.75
29.03.2021 00:00:00.000,0.93955,0.94043,0.93698,0.93896,61886.5117
30.03.2021 00:00:00.000,0.93896,0.94385,0.93883,0.94180,73527.4766
31.03.2021 00:00:00.000,0.94180,0.94583,0.94034,0.94387,105833.2266
01.04.2021 00:00:00.000,0.94389,0.94723,0.94044,0.94210,112420.4063
02.04.2021 00:00:00.000,0.94213,0.94339,0.94046,0.94176,51827.7695
03.04.2021 00:00:00.000,0.94176,0.94176,0.94176,0.94176,0
04.04.2021 00:00:00.000,0.94240,0.94309,0.94202,0.94202,6098.1699
05.04.2021 00:00:00.000,0.94204,0.94383,0.93526,0.93603,70332.1563
06.04.2021 00:00:00.000,0.93604,0.93959,0.93023,0.93080,65017.4609
07.04.2021 00:00:00.000,0.93080,0.93146,0.92677,0.92939,62654.5391
08.04.2021 00:00:00.000,0.92938,0.93020,0.92318,0.92415,51816.9219
09.04.2021 00:00:00.000,0.92417,0.92815,0.92322,0.92322,56900.9492
10.04.2021 00:00:00.000,0.92322,0.92322,0.92322,0.92322,0
11.04.2021 00:00:00.000,0.92479,0.92564,0.92377,0.92563,2114.6399
12.04.2021 00:00:00.000,0.92564,0.92682,0.92125,0.92236,61236.3984
13.04.2021 00:00:00.000,0.92240,0.92594,0.91973,0.92027,76638.0078
14.04.2021 00:00:00.000,0.92026,0.92338,0.91864,0.92273,70256.4297
15.04.2021 00:00:00.000,0.92272,0.92453,0.92061,0.92195,85324.4531
16.04.2021 00:00:00.000,0.92196,0.92348,0.91789,0.91972,60637.4414
17.04.2021 00:00:00.000,0.91972,0.91972,0.91972,0.91972,0
18.04.2021 00:00:00.000,0.91917,0.92083,0.91881,0.92055,1770.0699
19.04.2021 00:00:00.000,0.92056,0.92148,0.91283,0.91489,65299.8281
20.04.2021 00:00:00.000,0.91490,0.91693,0.91347,0.91604,64708.5313
21.04.2021 00:00:00.000,0.91603,0.91955,0.91530,0.91671,60462.5781
22.04.2021 00:00:00.000,0.91671,0.91909,0.91433,0.91713,67870.3672
23.04.2021 00:00:00.000,0.91713,0.91730,0.91275,0.91348,52499.6914
24.04.2021 00:00:00.000,0.91348,0.91348,0.91348,0.91348,0
25.04.2021 00:00:00.000,0.91303,0.91397,0.91303,0.91395,2168.78
26.04.2021 00:00:00.000,0.91395,0.91657,0.91213,0.91463,60607.7617
27.04.2021 00:00:00.000,0.91464,0.91715,0.91231,0.91403,57628.8516
28.04.2021 00:00:00.000,0.91404,0.91814,0.90879,0.90891,79699.0938
29.04.2021 00:00:00.000,0.90895,0.91191,0.90798,0.90892,70459.1172
30.04.2021 00:00:00.000,0.90892,0.91399,0.90800,0.91290,73502.5625
01.05.2021 00:00:00.000,0.91290,0.91290,0.91290,0.91290,0
02.05.2021 00:00:00.000,0.91243,0.91300,0.91168,0.91287,1890.8101
03.05.2021 00:00:00.000,0.91288,0.91475,0.90927,0.91152,70870.5938
04.05.2021 00:00:00.000,0.91152,0.91604,0.91141,0.91361,87952.2578
05.05.2021 00:00:00.000,0.91362,0.91641,0.91210,0.91310,73557.3828
06.05.2021 00:00:00.000,0.91310,0.91446,0.90700,0.90760,77358.3203
07.05.2021 00:00:00.000,0.90760,0.90933,0.89974,0.89979,90908.1094
08.05.2021 00:00:00.000,0.89979,0.89979,0.89979,0.89979,0
09.05.2021 00:00:00.000,0.90113,0.90142,0.89999,0.90046,13115.3604
10.05.2021 00:00:00.000,0.90047,0.90188,0.89853,0.90052,84218.3438
11.05.2021 00:00:00.000,0.90052,0.90406,0.90010,0.90384,78339.0938
12.05.2021 00:00:00.000,0.90384,0.90936,0.90296,0.90883,104121.7422
13.05.2021 00:00:00.000,0.90885,0.90929,0.90485,0.90595,126051.3203
14.05.2021 00:00:00.000,0.90598,0.90633,0.90106,0.90122,63465.3906
15.05.2021 00:00:00.000,0.90122,0.90122,0.90122,0.90122,0
16.05.2021 00:00:00.000,0.90103,0.90172,0.90103,0.90142,1652.03
17.05.2021 00:00:00.000,0.90143,0.90338,0.90017,0.90333,63005.0195
18.05.2021 00:00:00.000,0.90334,0.90347,0.89600,0.89752,54332.8594
19.05.2021 00:00:00.000,0.89753,0.90471,0.89678,0.90403,84216.2969
20.05.2021 00:00:00.000,0.90403,0.90468,0.89677,0.89753,70933.8438
21.05.2021 00:00:00.000,0.89753,0.90003,0.89534,0.89748,65412.7305
22.05.2021 00:00:00.000,0.89748,0.89748,0.89748,0.89748,0
23.05.2021 00:00:00.000,0.89795,0.89827,0.89722,0.89746,1846.8101
24.05.2021 00:00:00.000,0.89747,0.90024,0.89565,0.89701,63158.4414
